nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
421.088744027274,394.5368599664598,429.1098607381185,388.8517437889462,406.8223172142391,381.5587661379861,422.6696177891325,371.1316166832335,435.6206832159134,364.5355262756348,423.1565987723215,391.42322830926815,416.56479045322965,370.78712263561437,395.6407245454334,384.35631243387877,385.32694407871816,697.8506128220332,692.2644871303014,694.217052641369,696.8366855439687,695.6878841036843,721.542263939267,719.646568661644,751.6864446004234,749.2571191333589,743.8916397094727,753.4464590890071,776.8451970418296,776.1933212280273,800.0967414492656,800.3152527582079,829.6484654744468,830.1568723406107
421.6055608476912,404.6116191319058,426.7546691894532,401.5803429739816,419.51276234218045,393.04831314086925,433.9489544459753,384.16166578020386,447.60849325997503,384.7913987295969,434.65105492728105,399.5512935093472,425.5442036220007,377.2620255606515,417.11281149727955,380.23661586216537,412.30752835954956,698.1132496425085,692.6170643397741,694.1077346801759,696.373122079032,695.484346662249,720.0381229945592,719.7027010236465,749.5630438668389,746.6960002354214,750.2608195713589,754.5623697553366,777.0761980329241,776.7995932442801,801.4556568690712,799.0566079275949,827.7730167933873,833.6508026123045
424.976232801165,415.1651300702777,427.6848177228656,414.13247244698664,432.0254282270159,404.90674591064464,445.64217976161416,396.8574703761511,459.64843205043263,401.7200971330916,446.400791168213,408.7703944614956,435.3329549516952,385.28625924246654,435.49485887799943,378.9579786573139,434.38851819719605,697.7669666835243,692.4370727539064,693.5457371303015,695.4347261701313,694.7476580483574,718.381552559989,719.0408586774553,746.844203404018,744.082202911377,752.3824223109655,754.57519367763,776.4868850708009,776.6524233136857,802.4781657627653,798.855092729841,827.8873062133789,837.257724217006
431.2007598876959,426.19739278157607,431.9003063383562,426.50813220796186,444.3603148687459,417.13406444731265,457.7492937360497,409.21903047107565,471.74049958728665,415.32162148611934,458.40580749511776,419.08053116571386,445.93104444231363,394.8598236810598,450.78686668759354,380.5204008193248,451.56991359165795,696.8117639450809,691.724512372699,692.5310599917466,694.0214978172675,693.4778182620103,716.572552635557,717.661041623071,743.5299232119615,741.4157271612268,750.2564479282934,753.4849308558883,775.0772581554604,775.7518114362454,803.1642681303488,799.710707164947,829.9913337344225,840.9776371547164
441.04299490792465,439.2722593035022,439.6000388009213,438.95584942045724,456.94140225365106,430.3322971888956,471.12055024646634,422.05080668131563,483.5804625011632,428.5429607573015,471.54623195103295,430.7937138875331,457.91583615257684,404.68638574509447,462.0244852701829,377.7588424682622,464.3172901698527,695.3466509864453,690.7549670991452,691.124893551782,692.0327399117615,691.4161489577529,714.370754786901,715.2128041585296,738.9030492873428,738.2837350027911,743.930572146462,750.3589059738895,772.2092728387752,773.4897221156539,805.823237101238,802.6981426420676,843.9226633707693,846.3102053687697
454.1093045189273,454.51713961646726,451.2068979172485,451.19942583356647,468.6408328101754,443.42829640706435,483.5785980224615,432.8206925165091,496.03220549083954,433.0768483479823,483.7814723423555,443.10819426037074,469.84436035156307,417.84407988048787,471.1938600086036,387.8091374351869,471.2258348010841,692.852077665784,688.5306614467085,688.8692903064555,689.8285217285165,689.348366328649,712.5833950950995,712.4523620605478,734.7141658238012,735.2487778436579,732.8202950613849,747.3203971499498,770.0118887765077,771.6702503022702,804.0753508068276,805.3415025983549,846.2937781924304,850.0923810686395
466.9354847499308,464.2459694998611,464.8358855474568,462.55726405552514,479.6055403209874,455.7131714593802,495.00357636951327,443.2594168526791,509.43613978794707,437.2900038219639,496.1137644449876,456.4778144473127,482.0500542776931,434.0640298752563,479.81014215378593,412.05637940906394,473.5681908017119,689.2644682384681,685.1878385997962,685.5884392147981,686.9313681466247,686.4868923368916,710.394085838682,708.9127756754566,731.6593555268796,732.5212925502241,723.6764704386402,744.5755553472619,766.9901631673187,768.7258053734198,800.3736703055255,805.8303331647611,839.1283830915189,851.9030376615989
477.69945417131754,477.3188501993821,475.16410028366874,473.5961390904024,490.1438649495449,467.04076240176306,506.1421457926439,453.2916445050926,522.1809510730568,448.43353580293257,508.3078664143887,470.20425451369573,495.29920705159566,449.2996931530186,490.4738279070179,428.0879100617914,475.69410560244665,686.4149373372404,682.1631404331761,682.7683290754054,683.7786650884727,683.2147145952506,708.104271298364,706.0303609938858,730.7818392799023,730.4596339634496,716.7582484654027,742.2952782767169,764.3556227911096,765.2609550839388,797.9383123488664,804.2825259254103,840.3441438220806,850.9836520240431
485.0116624378029,485.4837123325899,482.03148905436257,484.3758403233125,500.7571040562227,477.21874709356456,516.9721047537674,464.67079344249964,533.7520337786,456.0282946995332,521.2048488798603,483.7388087681368,508.66014135451604,464.97255597795817,503.22777303059956,445.68012164887983,483.38158671061257,683.1607248215457,679.1374333699553,679.6582957676487,680.4791110810788,680.1646161760611,705.2537413097573,703.1785336449042,730.1585072108686,728.1642819359198,712.0695524669837,740.664309547062,761.0138913109198,761.1974945068368,794.8511948358455,800.8129170735688,842.9811343238478,847.1248103550513
482.04134441557443,480.2907838367286,478.9674889700759,495.33923703148315,511.8942485990985,486.6559248424718,527.6601293654676,477.15308870588086,544.9742896670393,469.0110157557902,533.2387419201085,496.73050326392826,521.7182384672625,480.5515147617891,517.6967083158953,468.0005416870123,497.4373728434251,682.1865608578645,677.3251593453551,678.3889196486708,677.8649299258286,677.4008338564927,702.7616686139796,700.9623107910165,731.1775407337017,726.49625106085,715.2548076084692,739.5823447817857,758.0818750290654,756.8424871535537,792.5936402820415,797.1494511195601,840.614507765998,841.2749800909144
